course,stop_code,stop_id,stop_name,route_short_name,trip_headsign,direction_id,departure_time,is_theorical,delay_sec,dest_ar_code
268436158,ANTIGRTW,41217,ANTIGONE,1,MOSSON,1,10:16:13,0,101,41101
268436056,ANTIGRTW,41217,ANTIGONE,1,MOSSON,1,10:18:02,0,210,41101
268436119,ANTIGRTW,41217,ANTIGONE,1,MOSSON,1,10:22:35,0,483,41101
268435916,BOUTORTW,41233,BOUTONNET,1,MOSSON,1,10:15:25,0,53,41101
268436024,BOUTORTW,41233,BOUTONNET,1,MOSSON,1,10:20:42,0,370,41101
268436087,BOUTORTW,41233,BOUTONNET,1,MOSSON,1,10:24:36,0,604,41101
268435989,CHATORTW,41243,CHATEAU D'O,1,MOSSON,1,10:17:22,0,170,41101
268435916,CHATORTW,41243,CHATEAU D'O,1,MOSSON,1,10:24:13,0,581,41101
268436024,CHATORTW,41243,CHATEAU D'O,1,MOSSON,1,10:29:21,0,889,41101
268436158,COMEDRTW,41223,COMEDIE,1,MOSSON,1,10:22:36,0,484,41101
268436056,COMEDRTW,41223,COMEDIE,1,MOSSON,1,10:24:22,0,590,41101
268436119,COMEDRTW,41223,COMEDIE,1,MOSSON,1,10:28:47,0,855,41101
268436087,CORUMRTW,41225,CORUM T1,1,MOSSON,1,10:17:30,0,178,41101
268436158,CORUMRTW,41225,CORUM T1,1,MOSSON,1,10:26:57,0,745,41101
268436056,CORUMRTW,41225,CORUM T1,1,MOSSON,1,10:28:27,0,835,41101
268436158,DUGUESCE,41218,DU GUESCLIN,1,MOSSON,1,10:18:55,0,263,41101
268436056,DUGUESCE,41218,DU GUESCLIN,1,MOSSON,1,10:20:22,0,350,41101
268436119,DUGUESCE,41218,DU GUESCLIN,1,MOSSON,1,10:24:44,0,612,41101
268435958,EUROMRTW,41247,EUROMEDECINE,1,MOSSON,1,10:18:57,0,265,41101
268435989,EUROMRTW,41247,EUROMEDECINE,1,MOSSON,1,10:21:22,0,410,41101
268435916,EUROMRTW,41247,EUROMEDECINE,1,MOSSON,1,10:28:13,0,821,41101
268436158,GARERTW,41221,GARE ST-ROCH T1,1,MOSSON,1,10:20:58,0,386,41101
268436056,GARERTW,41221,GARE ST-ROCH T1,1,MOSSON,1,10:22:25,0,473,41101
268436119,GARERTW,41221,GARE ST-ROCH T1,1,MOSSON,1,10:26:47,0,735,41101
268435927,HALLPRTW,41253,HALLES PAILLADE,1,MOSSON,1,10:18:19,0,227,41101
268435958,HALLPRTW,41253,HALLES PAILLADE,1,MOSSON,1,10:23:49,0,557,41101
268435989,HALLPRTW,41253,HALLES PAILLADE,1,MOSSON,1,10:26:41,0,729,41101
268435958,HTMASRTW,41249,HAUTS DE MASSANE,1,MOSSON,1,10:20:31,0,359,41101
268435989,HTMASRTW,41249,HAUTS DE MASSANE,1,MOSSON,1,10:23:22,0,530,41101
268435916,HTMASRTW,41249,HAUTS DE MASSANE,1,MOSSON,1,10:30:13,0,941,41101
